City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whithorn,18.26,-78.04,84.2,66,20,25.28,JM,1581626563
1,rikitea,-23.12,-134.97,78.75,75,100,15.19,PF,1581626564
2,brae,60.4,-1.35,41.0,86,82,5.82,GB,1581626566
3,ushuaia,-54.8,-68.3,57.2,50,40,14.99,AR,1581626567
4,castro,-24.79,-50.01,71.89,71,38,4.36,BR,1581626568
5,mattru,7.62,-11.83,77.07,85,0,3.87,SL,1581626569
6,kapaa,22.08,-159.32,77.0,83,75,10.29,US,1581626572
7,nouadhibou,20.93,-17.03,77.0,38,0,9.17,MR,1581626574
8,albany,42.6,-73.97,39.0,90,90,3.36,US,1581626538
9,cap malheureux,-19.98,57.61,80.01,88,40,3.36,MU,1581626576
10,jamestown,42.1,-79.24,33.8,92,90,13.87,US,1581626577
11,antalaha,-14.9,50.28,81.41,81,100,6.89,MG,1581626578
12,busselton,-33.65,115.33,69.01,52,14,12.88,AU,1581626579
13,changde,29.05,111.68,61.02,90,64,1.25,CN,1581626580
14,punta arenas,-53.15,-70.92,62.6,48,75,9.17,CL,1581626581
15,pangnirtung,66.15,-65.71,-14.8,62,20,2.24,CA,1581626582
16,guerrero negro,27.98,-114.06,68.2,36,6,8.61,MX,1581626426
17,bethel,41.37,-73.41,41.0,93,90,4.7,US,1581626584
18,derzhavinsk,51.1,66.32,4.06,92,100,16.78,KZ,1581626585
19,bengkulu,-3.8,102.27,73.58,92,100,3.6,ID,1581626586
20,vardo,70.37,31.11,26.6,70,0,31.09,NO,1581626588
21,kloulklubed,7.04,134.26,81.61,77,100,22.53,PW,1581626589
22,new norfolk,-42.78,147.06,61.0,87,75,5.82,AU,1581626591
23,mataura,-46.19,168.86,53.01,77,98,5.99,NZ,1581626592
24,khatanga,71.97,102.5,10.35,92,100,16.28,RU,1581626593
25,santa rosa,14.31,121.11,75.2,83,20,3.36,PH,1581626301
26,cromwell,41.6,-72.65,41.0,100,90,3.36,US,1581626595
27,saldanha,-33.01,17.94,68.0,82,0,12.75,ZA,1581626596
28,abu kamal,34.45,40.92,43.05,72,15,16.08,SY,1581626597
29,portland,45.52,-122.68,42.01,93,90,2.89,US,1581626385
30,ulaanbaatar,47.91,106.88,-18.4,68,0,2.24,MN,1581626407
31,thompson,55.74,-97.86,-4.0,58,20,5.82,CA,1581626381
32,bredasdorp,-34.53,20.04,68.0,82,59,5.82,ZA,1581626601
33,guilin,25.28,110.29,64.4,100,75,2.24,CN,1581626602
34,yulara,-25.24,130.99,82.4,51,0,8.05,AU,1581626603
35,kavieng,-2.57,150.8,82.47,78,100,10.89,PG,1581626604
36,vaini,-21.2,-175.2,80.6,78,40,11.41,TO,1581626605
37,yeppoon,-23.13,150.73,75.2,94,40,5.82,AU,1581626516
38,rawson,-43.3,-65.1,64.31,56,0,19.46,AR,1581626607
39,geraldton,-28.77,114.6,69.8,88,75,4.7,AU,1581626608
40,carnarvon,-24.87,113.63,73.4,78,0,6.93,AU,1581626610
41,tasiilaq,65.61,-37.64,21.2,73,100,58.61,GL,1581626611
42,qaanaaq,77.48,-69.36,-16.37,61,0,6.91,GL,1581626612
43,namatanai,-3.67,152.43,82.33,76,100,7.7,PG,1581626613
44,vila franca do campo,37.72,-25.43,62.6,77,40,14.99,PT,1581626591
45,puerto ayora,-0.74,-90.35,89.6,52,20,20.8,EC,1581626615
46,georgetown,5.41,100.34,80.6,88,20,2.24,MY,1581626404
47,la ronge,55.1,-105.28,5.0,38,75,8.05,CA,1581626617
48,jalu,29.03,21.55,61.95,55,91,3.2,LY,1581626618
49,lang son,21.83,106.73,67.06,98,93,2.73,VN,1581626406
50,hobart,-42.88,147.33,61.0,87,75,5.82,AU,1581626446
51,port alfred,-33.59,26.89,66.99,97,34,5.99,ZA,1581626621
52,jiayuguan,39.82,98.3,11.3,58,0,5.75,CN,1581626622
53,isla mujeres,21.23,-86.73,84.2,66,40,18.34,MX,1581626624
54,bluff,-46.6,168.33,53.01,77,95,5.99,NZ,1581626625
55,xiangxiang,27.73,112.53,59.61,95,100,1.57,CN,1581626626
56,mahebourg,-20.41,57.7,80.01,88,40,3.36,MU,1581626627
57,sebastian,35.17,-94.27,37.4,59,40,9.17,US,1581626628
58,lebu,-37.62,-73.65,64.02,43,0,12.19,CL,1581626629
59,venado tuerto,-33.75,-61.97,84.99,60,100,4.21,AR,1581626630
60,ribeira grande,38.52,-28.7,62.6,88,40,19.46,PT,1581626631
61,waingapu,-9.66,120.26,83.17,75,100,6.58,ID,1581626633
62,kodiak,57.79,-152.41,33.8,31,1,9.17,US,1581626634
63,vao,-22.67,167.48,80.82,89,100,11.97,NC,1581626635
64,severo-kurilsk,50.68,156.12,15.44,91,92,28.68,RU,1581626637
65,sitka,57.05,-135.33,37.4,86,75,2.35,US,1581626639
66,hilo,19.73,-155.09,86.0,40,40,9.17,US,1581626640
67,tuktoyaktuk,69.45,-133.04,-38.2,72,5,9.17,CA,1581626641
68,hermanus,-34.42,19.23,66.99,90,34,2.39,ZA,1581626642
69,lompoc,34.64,-120.46,66.0,55,1,5.82,US,1581626643
70,toora-khem,52.47,96.11,-9.47,98,37,3.06,RU,1581626644
71,aklavik,68.22,-135.01,-22.0,67,20,10.29,CA,1581626403
72,barguzin,53.62,109.62,-3.73,97,100,2.33,RU,1581626646
73,sinnamary,5.38,-52.95,78.98,76,46,17.07,GF,1581626647
74,fort nelson,58.81,-122.7,5.0,77,90,13.87,CA,1581626648
75,kununurra,-15.77,128.73,77.0,94,79,8.05,AU,1581626649
76,liberal,37.04,-100.92,23.0,48,90,9.17,US,1581626650
77,butaritari,3.07,172.79,82.35,85,100,20.29,KI,1581626651
78,mudanjiang,44.58,129.6,13.21,92,65,2.57,CN,1581626652
79,yellowknife,62.46,-114.35,-0.99,83,90,10.29,CA,1581626653
80,el sauzal,31.9,-116.68,66.0,68,72,1.99,MX,1581626654
81,clyde river,70.47,-68.59,-13.0,75,40,17.22,CA,1581626655
82,quebo,11.33,-14.93,74.16,61,0,5.77,GW,1581626656
83,sept-iles,50.2,-66.38,6.8,35,75,11.41,CA,1581626515
84,nome,64.5,-165.41,-6.0,69,1,3.36,US,1581626514
85,upernavik,72.79,-56.15,-10.95,86,0,12.28,GL,1581626661
86,ayan,56.45,138.17,-15.57,71,0,10.27,RU,1581626662
87,cabo san lucas,22.89,-109.91,72.0,40,5,11.41,MX,1581626386
88,trapani,37.83,12.67,57.2,87,20,5.82,IT,1581626664
89,ponta do sol,32.67,-17.1,64.4,77,40,4.7,PT,1581626665
90,iqaluit,63.75,-68.51,-22.0,61,40,27.51,CA,1581626666
91,quatre cocos,-20.21,57.76,79.0,88,40,3.36,MU,1581626667
92,koungheul,13.98,-14.8,86.43,13,0,8.68,SN,1581626668
93,fortuna,40.6,-124.16,55.99,87,75,1.52,US,1581626669
94,hamina,60.57,27.2,32.0,84,90,5.82,FI,1581626670
95,hasaki,35.73,140.83,48.0,100,75,1.12,JP,1581626671
96,huilong,31.81,121.66,55.0,96,26,6.44,CN,1581626672
97,east london,-33.02,27.91,74.75,70,0,20.96,ZA,1581626673
98,coahuayana,18.73,-103.68,80.6,42,40,5.91,MX,1581626674
99,barrow,71.29,-156.79,-29.2,73,1,6.93,US,1581626675
100,asau,46.43,26.4,36.0,59,33,3.36,RO,1581626676
101,arraial do cabo,-22.97,-42.03,77.0,88,75,11.41,BR,1581626677
102,meulaboh,4.14,96.13,82.13,79,100,3.76,ID,1581626678
103,emba,48.83,58.14,21.69,96,97,9.06,KZ,1581626679
104,catamarca,-28.47,-65.79,63.59,82,83,4.18,AR,1581626680
105,salinopolis,-0.61,-47.36,81.14,82,100,14.76,BR,1581626681
106,chuy,-33.7,-53.46,77.58,68,71,15.23,UY,1581626682
107,neuquen,-38.95,-68.06,78.8,11,0,5.82,AR,1581626685
108,anadyr,64.75,177.48,12.2,56,100,8.95,RU,1581626686
109,magadan,59.57,150.8,2.84,67,100,13.56,RU,1581626687
110,alekseyevsk,57.84,108.35,4.42,94,100,11.45,RU,1581626689
111,hambantota,6.12,81.12,77.0,100,75,9.17,LK,1581626690
112,puerto escondido,15.85,-97.07,86.0,66,40,6.93,MX,1581626691
113,hamilton,39.18,-84.53,39.2,81,90,13.87,US,1581626659
114,matagami,49.75,-77.63,-13.0,69,1,9.17,CA,1581626693
115,flagstaff,35.2,-111.65,57.99,37,1,3.36,US,1581626646
116,yinchuan,38.47,106.27,16.0,30,5,3.0,CN,1581626696
117,hammerfest,70.66,23.68,33.8,80,20,13.87,NO,1581626697
118,nuevitas,21.55,-77.26,86.0,55,40,12.75,CU,1581626699
119,port-gentil,-0.72,8.78,78.8,100,20,1.12,GA,1581626700
120,vina del mar,-33.02,-71.55,84.2,33,0,23.04,CL,1581626701
121,hinche,19.15,-72.02,93.2,32,20,17.22,HT,1581626702
122,pravdinsk,54.44,21.02,35.6,80,40,6.71,RU,1581626703
123,naze,28.37,129.48,69.8,100,75,6.93,JP,1581626704
124,xichang,27.9,102.26,33.13,74,0,2.75,CN,1581626706
125,saskylakh,71.92,114.08,5.83,95,100,8.72,RU,1581626707
126,aldan,58.6,125.39,-2.9,98,100,16.82,RU,1581626708
127,rocha,-34.48,-54.33,78.93,58,95,17.69,UY,1581626710
128,acari,-15.43,-74.62,69.46,78,74,10.54,PE,1581626711
129,dickson,36.08,-87.39,42.01,74,90,10.29,US,1581626494
130,honiara,-9.43,159.95,78.8,88,75,2.24,SB,1581626713
131,nacala,-14.54,40.67,68.49,94,56,5.53,MZ,1581626714
132,port moresby,-9.44,147.18,73.4,100,40,11.41,PG,1581626599
133,kitob,39.08,66.83,35.49,38,0,9.1,UZ,1581626716
134,deputatskiy,69.3,139.9,-27.18,91,65,2.77,RU,1581626717
135,takanosu,40.22,140.37,36.95,99,100,4.99,JP,1581626718
136,lasa,46.62,10.7,41.0,58,40,3.36,IT,1581626719
137,izumo,35.37,132.77,41.0,100,75,3.36,JP,1581626720
138,sur,22.57,59.53,66.61,63,0,10.74,OM,1581626721
139,longyearbyen,78.22,15.64,-4.0,76,90,3.36,SJ,1581626722
140,kieta,-6.22,155.63,83.07,75,100,14.61,PG,1581626723
141,leningradskiy,69.38,178.42,0.3,95,98,7.87,RU,1581626725
142,atuona,-9.8,-139.03,80.38,79,1,14.2,PF,1581626616
143,juarez,31.73,-106.48,55.99,35,1,6.93,MX,1581626727
144,saint george,37.1,-113.58,57.0,20,1,8.05,US,1581626493
145,caravelas,-17.71,-39.25,80.91,80,6,13.31,BR,1581626729
146,alofi,-19.06,-169.92,77.0,94,75,10.29,NU,1581626730
147,coihaique,-45.58,-72.07,57.2,58,75,10.29,CL,1581626731
148,paragominas,-2.97,-47.48,78.91,92,91,4.0,BR,1581626642
149,conselheiro pena,-19.17,-41.47,76.69,79,100,5.19,BR,1581626585
150,tam ky,15.57,108.48,75.2,94,20,2.24,VN,1581626736
151,shache,38.42,77.24,38.12,47,100,3.22,CN,1581626737
152,hofn,64.25,-15.21,30.43,92,100,27.65,IS,1581626738
153,maricka,44.87,16.84,41.0,75,100,3.36,BA,1581626739
154,pombal,-6.77,-37.8,79.7,70,100,13.91,BR,1581626740
155,nikolskoye,59.7,30.79,35.6,96,90,6.71,RU,1581626741
156,altay,47.87,88.12,11.68,42,0,4.94,CN,1581626742
157,russell,32.35,-85.2,66.2,68,90,11.41,US,1581626743
158,torbay,47.67,-52.73,33.01,85,90,16.11,CA,1581626744
159,ventspils,57.39,21.56,39.2,93,0,10.29,LV,1581626745
160,bucyrus,40.81,-82.98,34.0,80,90,10.29,US,1581626460
161,north bend,43.41,-124.22,48.0,87,90,3.36,US,1581626747
162,oussouye,12.48,-16.55,74.05,50,16,5.35,SN,1581626748
163,nizhniy kuranakh,58.84,125.49,0.41,93,100,9.66,RU,1581626749
164,port elizabeth,-33.92,25.57,68.0,88,90,11.41,ZA,1581626704
165,balkhash,46.84,74.98,11.19,87,33,6.29,KZ,1581626751
166,matara,5.95,80.54,73.13,91,55,3.47,LK,1581626752
167,narsaq,60.92,-46.05,8.6,39,20,7.05,GL,1581626753
168,saint-augustin,51.23,-58.65,3.04,74,63,16.71,CA,1581626754
169,muncar,-8.43,114.33,80.96,80,6,2.24,ID,1581626755
170,havelock,34.88,-76.9,80.6,69,75,24.16,US,1581626758
171,puerto cabezas,14.04,-83.39,86.0,66,40,9.17,NI,1581626760
172,beruwala,6.48,79.98,76.32,93,77,4.18,LK,1581626761
173,nenjiang,49.18,125.22,-7.4,81,0,4.97,CN,1581626763
174,melfi,41.0,15.65,46.4,93,5,18.34,IT,1581626764
175,dzerzhinsk,56.24,43.46,21.0,78,20,5.61,RU,1581626765
176,carira,-10.36,-37.7,78.66,77,95,11.9,BR,1581626766
177,kilindoni,-7.91,39.67,81.16,80,99,9.19,TZ,1581626767
178,tiksi,71.69,128.87,-30.41,87,11,6.13,RU,1581626768
179,hithadhoo,-0.6,73.08,82.72,77,1,9.13,MV,1581626769
180,ilulissat,69.22,-51.1,-0.4,84,40,2.24,GL,1581626770
181,kiruna,67.86,20.23,8.6,84,96,9.17,SE,1581626771
182,piacabucu,-10.41,-36.43,81.09,80,84,9.44,BR,1581626772
183,victoria,22.29,114.16,69.8,88,40,8.05,HK,1581626704
184,chunskiy,56.08,99.63,-0.29,94,0,2.77,RU,1581626774
185,cape town,-33.93,18.42,71.01,88,7,8.05,ZA,1581626714
186,kirakira,-10.45,161.92,80.46,82,91,8.86,SB,1581626777
187,adrar,20.5,-10.07,74.64,22,0,12.59,MR,1581626778
188,temnikov,54.63,43.21,16.09,95,98,2.91,RU,1581626779
189,punta gorda,26.93,-82.05,84.99,66,20,17.22,US,1581626779
190,manzhouli,49.6,117.43,-7.64,71,0,6.42,CN,1581626782
191,pevek,69.7,170.31,-0.06,97,100,9.01,RU,1581626783
192,gravdal,68.12,13.5,32.0,79,40,4.7,NO,1581626784
193,college,64.86,-147.8,-16.01,73,1,1.79,US,1581626785
194,avarua,-21.21,-159.78,82.4,83,100,12.75,CK,1581626639
195,cooma,-36.23,149.13,59.0,100,75,6.93,AU,1581626787
196,jambi,-1.6,103.62,74.34,98,100,0.85,ID,1581626494
197,tuatapere,-46.13,167.68,53.01,77,99,5.99,NZ,1581626789
198,tangzhai,34.43,116.59,57.0,80,97,5.99,CN,1581626790
199,pacasmayo,-7.4,-79.57,78.37,66,2,15.68,PE,1581626791
200,baiyin,36.56,104.21,17.6,34,100,8.95,CN,1581626793
201,abay,49.63,72.85,17.6,85,20,26.84,KZ,1581626794
202,laguna,38.42,-121.42,64.99,62,5,1.92,US,1581626631
203,makakilo city,21.35,-158.09,82.4,65,1,4.7,US,1581626543
204,poum,-20.23,164.02,80.67,77,15,3.2,NC,1581626797
205,san policarpo,12.18,125.51,78.1,85,100,12.41,PH,1581626798
206,fredericksburg,38.3,-77.46,61.0,100,75,4.7,US,1581626799
207,ancud,-41.87,-73.82,64.4,39,40,14.99,CL,1581626800
208,petropavlovsk-kamchatskiy,53.05,158.65,10.4,66,100,6.71,RU,1581626801
209,fairbanks,64.84,-147.72,-16.01,73,1,1.23,US,1581626671
210,namtsy,62.72,129.67,-40.0,65,68,4.47,RU,1581626804
211,saint-philippe,-21.36,55.77,80.6,69,100,6.93,RE,1581626805
212,lorengau,-2.02,147.27,83.08,77,97,13.62,PG,1581626807
213,yuanping,38.72,112.76,35.8,58,81,4.27,CN,1581626808
214,inuvik,68.35,-133.72,-22.0,64,5,9.86,CA,1581626524
215,bathsheba,13.22,-59.52,82.4,61,20,26.4,BB,1581626810
216,paidha,2.42,30.99,72.3,42,46,4.12,UG,1581626811
217,gelemso,8.82,40.52,60.1,79,42,2.04,ET,1581626812
218,richards bay,-28.78,32.04,77.97,81,0,19.35,ZA,1581626813
219,dikson,73.51,80.55,21.31,92,100,22.97,RU,1581626814
220,ixtapa,20.7,-105.2,75.99,64,5,10.29,MX,1581626815
221,morehead,37.27,-87.18,37.99,76,90,10.29,US,1581626816
222,bonthe,7.53,-12.51,79.52,83,0,8.52,SL,1581626817
223,xingyi,24.19,102.82,46.65,71,0,3.31,CN,1581626818
224,mar del plata,-38.0,-57.56,73.0,94,75,11.41,AR,1581626693
225,grindavik,63.84,-22.43,30.2,68,75,33.33,IS,1581626821
226,san patricio,19.22,-104.7,84.2,66,5,11.41,MX,1581626822
227,dali,25.7,100.18,36.19,87,1,2.53,CN,1581626823
228,klaksvik,62.23,-6.59,32.0,62,27,5.82,FO,1581626825
229,kaitangata,-46.28,169.85,54.0,69,100,7.18,NZ,1581626826
230,nanortalik,60.14,-45.24,19.38,42,49,7.47,GL,1581626827
231,asyut,27.18,31.18,59.0,58,0,9.17,EG,1581626828
232,samarai,-10.62,150.67,77.22,90,100,4.36,PG,1581626829
233,west bay,19.37,-81.42,86.0,74,20,17.22,KY,1581626831
234,freeport,40.66,-73.58,44.01,87,90,4.7,US,1581626589
235,manubul,5.47,120.8,80.73,73,43,3.74,PH,1581626834
236,manadhoo,5.77,73.38,82.08,77,100,8.68,MV,1581626835
237,faanui,-16.48,-151.75,82.11,75,0,13.29,PF,1581626836
238,ulladulla,-35.35,150.47,69.8,100,75,4.7,AU,1581626837
239,yumen,40.28,97.2,15.19,47,0,18.3,CN,1581626838
240,hay river,60.82,-115.8,-0.4,77,90,5.82,CA,1581626839
241,quzhou,28.96,118.87,53.1,96,69,2.62,CN,1581626840
242,san quintin,30.48,-115.95,63.01,51,33,9.66,MX,1581626841
243,slonim,53.09,25.32,31.01,92,88,4.52,BY,1581626842
244,muros,42.78,-9.06,60.01,100,75,8.05,ES,1581626843
245,bagdarin,54.43,113.6,-6.36,79,93,4.81,RU,1581626844
246,hauterive,46.09,3.45,50.0,57,75,17.22,FR,1581626845
247,malya,-2.98,33.52,70.05,73,100,5.5,TZ,1581626846
248,touros,-5.2,-35.46,77.0,94,40,3.36,BR,1581626847
249,hearst,49.68,-83.67,-9.18,85,100,5.59,CA,1581626669
250,wellington,-41.29,174.78,72.0,93,40,10.29,NZ,1581626797
251,chapais,49.78,-74.85,-9.4,63,75,8.05,CA,1581626850
252,hokitika,-42.72,170.97,60.82,71,21,6.96,NZ,1581626851
253,beipiao,41.79,120.78,18.18,67,100,17.11,CN,1581626852
254,chifeng,42.27,118.96,12.18,89,100,12.24,CN,1581626853
255,vestmannaeyjar,63.44,-20.27,39.7,69,100,47.2,IS,1581626854
256,dingle,11.0,122.67,72.64,93,90,9.64,PH,1581626856
257,ures,29.43,-110.4,77.0,29,0,4.0,MX,1581626857
258,trelew,-43.25,-65.31,74.95,14,0,15.52,AR,1581626652
259,petatlan,17.52,-101.27,87.8,58,5,8.05,MX,1581626860
260,bambous virieux,-20.34,57.76,79.0,88,40,3.36,MU,1581626861
261,bulgan,48.81,103.53,-7.4,92,0,3.22,MN,1581626862
262,sungairaya,0.7,108.9,72.73,98,91,2.95,ID,1581626863
263,roros,62.57,11.38,23.0,100,75,3.36,NO,1581626864
264,kachiry,53.07,76.1,11.41,86,34,13.85,KZ,1581626865
265,moyale,3.52,39.06,80.37,33,96,12.75,KE,1581626866
266,beberibe,-4.18,-38.13,77.0,94,75,5.82,BR,1581626867
267,gornopravdinsk,60.05,69.9,13.46,95,100,5.3,RU,1581626868
268,mandera,3.94,41.87,86.41,26,100,13.47,KE,1581626869
269,constitucion,-35.33,-72.42,64.22,51,0,16.98,CL,1581626870
270,provideniya,64.38,-173.3,8.6,78,75,22.37,RU,1581626871
271,cap-aux-meules,47.38,-61.86,17.6,85,90,19.46,CA,1581626872
272,maniitsoq,65.42,-52.9,12.22,42,100,10.25,GL,1581626873
273,maceio,-9.67,-35.74,82.4,78,40,10.29,BR,1581626704
274,leh,34.17,77.58,1.24,73,60,8.14,IN,1581626875
275,tilichiki,60.47,166.1,5.59,93,100,10.22,RU,1581626877
276,jizan,17.33,42.67,78.8,74,0,3.36,SA,1581626878
277,am timan,11.03,20.28,71.89,16,0,4.43,TD,1581626879
278,tazovskiy,67.47,78.7,4.33,93,94,11.3,RU,1581626880
279,alexandria,31.22,29.96,59.0,87,19,5.82,EG,1581626766
280,sarahan,31.52,77.8,23.52,74,1,6.73,IN,1581626882
281,picsi,-6.72,-79.77,66.2,29,0,18.34,PE,1581626883
282,sobolevo,54.43,31.9,32.83,90,100,13.71,RU,1581626884
283,taylor,32.3,-99.83,39.2,69,90,3.36,US,1581626885
284,kahului,20.89,-156.47,82.4,69,20,16.11,US,1581626886
285,luderitz,-26.65,15.16,66.2,77,0,11.41,NA,1581626887
286,albox,37.39,-2.15,57.2,87,20,3.36,ES,1581626890
287,beibei,29.83,106.43,53.6,76,90,4.47,CN,1581626891
